1,metric,model
0.46153846153846156,acc,PupilCalib
0.46153846153846156,acc,PupilCalib
0.8461538461538461,acc,PupilCalib
0.6923076923076923,acc,PupilCalib
0.23076923076923078,acc,PupilCalib
0.6153846153846154,acc,PupilCalib
0.75,acc,PupilCalib
0.75,acc,PupilCalib
0.4166666666666667,acc,PupilCalib
0.6666666666666666,acc,PupilCalib
0.4523809523809524,roc,PupilCalib
0.5714285714285714,roc,PupilCalib
0.9285714285714285,roc,PupilCalib
0.8095238095238095,roc,PupilCalib
0.33333333333333337,roc,PupilCalib
0.6666666666666666,roc,PupilCalib
0.8055555555555557,roc,PupilCalib
0.9166666666666667,roc,PupilCalib
0.48611111111111105,roc,PupilCalib
0.6666666666666667,roc,PupilCalib
0.3636363636363636,fms,PupilCalib
0.4615384615384615,fms,PupilCalib
0.8333333333333334,fms,PupilCalib
0.6666666666666666,fms,PupilCalib
0.28571428571428575,fms,PupilCalib
0.5454545454545454,fms,PupilCalib
0.7692307692307692,fms,PupilCalib
0.6666666666666666,fms,PupilCalib
0.5333333333333333,fms,PupilCalib
0.6666666666666666,fms,PupilCalib
0.4,precision,PupilCalib
0.42857142857142855,precision,PupilCalib
0.8333333333333334,precision,PupilCalib
0.6666666666666666,precision,PupilCalib
0.25,precision,PupilCalib
0.6,precision,PupilCalib
0.7142857142857143,precision,PupilCalib
1.0,precision,PupilCalib
0.4444444444444444,precision,PupilCalib
0.6666666666666666,precision,PupilCalib
0.3333333333333333,recall,PupilCalib
0.5,recall,PupilCalib
0.8333333333333334,recall,PupilCalib
0.6666666666666666,recall,PupilCalib
0.3333333333333333,recall,PupilCalib
0.5,recall,PupilCalib
0.8333333333333334,recall,PupilCalib
0.5,recall,PupilCalib
0.6666666666666666,recall,PupilCalib
0.6666666666666666,recall,PupilCalib
0.5714285714285714,specificity,PupilCalib
0.42857142857142855,specificity,PupilCalib
0.8571428571428571,specificity,PupilCalib
0.7142857142857143,specificity,PupilCalib
0.14285714285714285,specificity,PupilCalib
0.7142857142857143,specificity,PupilCalib
0.6666666666666666,specificity,PupilCalib
1.0,specificity,PupilCalib
0.16666666666666666,specificity,PupilCalib
0.6666666666666666,specificity,PupilCalib
