1,metric,model
0.5294117647058824,acc,RandomForest
0.5882352941176471,acc,RandomForest
0.75,acc,RandomForest
0.8125,acc,RandomForest
0.6875,acc,RandomForest
0.6875,acc,RandomForest
0.6875,acc,RandomForest
0.5,acc,RandomForest
0.625,acc,RandomForest
0.5625,acc,RandomForest
0.7121212121212122,roc,RandomForest
0.6363636363636362,roc,RandomForest
0.7,roc,RandomForest
0.828125,roc,RandomForest
0.8229166666666666,roc,RandomForest
0.7109375,roc,RandomForest
0.8412698412698414,roc,RandomForest
0.5546875,roc,RandomForest
0.7833333333333333,roc,RandomForest
0.6984126984126984,roc,RandomForest
0.2,fms,RandomForest
0.631578947368421,fms,RandomForest
0.6,fms,RandomForest
0.823529411764706,fms,RandomForest
0.761904761904762,fms,RandomForest
0.6666666666666666,fms,RandomForest
0.6153846153846153,fms,RandomForest
0.3333333333333333,fms,RandomForest
0.5714285714285715,fms,RandomForest
0.588235294117647,fms,RandomForest
0.25,precision,RandomForest
0.75,precision,RandomForest
0.75,precision,RandomForest
0.7777777777777778,precision,RandomForest
0.8888888888888888,precision,RandomForest
0.7142857142857143,precision,RandomForest
0.6666666666666666,precision,RandomForest
0.5,precision,RandomForest
0.5,precision,RandomForest
0.5,precision,RandomForest
0.16666666666666666,recall,RandomForest
0.5454545454545454,recall,RandomForest
0.5,recall,RandomForest
0.875,recall,RandomForest
0.6666666666666666,recall,RandomForest
0.625,recall,RandomForest
0.5714285714285714,recall,RandomForest
0.25,recall,RandomForest
0.6666666666666666,recall,RandomForest
0.7142857142857143,recall,RandomForest
0.7272727272727273,specificity,RandomForest
0.6666666666666666,specificity,RandomForest
0.9,specificity,RandomForest
0.75,specificity,RandomForest
0.75,specificity,RandomForest
0.75,specificity,RandomForest
0.7777777777777778,specificity,RandomForest
0.75,specificity,RandomForest
0.6,specificity,RandomForest
0.4444444444444444,specificity,RandomForest
0.5882352941176471,acc,GausNaiveBayes
0.5882352941176471,acc,GausNaiveBayes
0.75,acc,GausNaiveBayes
0.75,acc,GausNaiveBayes
0.75,acc,GausNaiveBayes
0.6875,acc,GausNaiveBayes
0.6875,acc,GausNaiveBayes
0.625,acc,GausNaiveBayes
0.75,acc,GausNaiveBayes
0.5625,acc,GausNaiveBayes
0.7424242424242424,roc,GausNaiveBayes
0.6666666666666666,roc,GausNaiveBayes
0.7166666666666667,roc,GausNaiveBayes
0.859375,roc,GausNaiveBayes
0.8333333333333334,roc,GausNaiveBayes
0.78125,roc,GausNaiveBayes
0.7698412698412699,roc,GausNaiveBayes
0.578125,roc,GausNaiveBayes
0.75,roc,GausNaiveBayes
0.8095238095238095,roc,GausNaiveBayes
0.2222222222222222,fms,GausNaiveBayes
0.6666666666666666,fms,GausNaiveBayes
0.6,fms,GausNaiveBayes
0.75,fms,GausNaiveBayes
0.8181818181818182,fms,GausNaiveBayes
0.6666666666666666,fms,GausNaiveBayes
0.6153846153846153,fms,GausNaiveBayes
0.5714285714285715,fms,GausNaiveBayes
0.6666666666666666,fms,GausNaiveBayes
0.631578947368421,fms,GausNaiveBayes
0.3333333333333333,precision,GausNaiveBayes
0.7,precision,GausNaiveBayes
0.75,precision,GausNaiveBayes
0.75,precision,GausNaiveBayes
0.9,precision,GausNaiveBayes
0.7142857142857143,precision,GausNaiveBayes
0.6666666666666666,precision,GausNaiveBayes
0.6666666666666666,precision,GausNaiveBayes
0.6666666666666666,precision,GausNaiveBayes
0.5,precision,GausNaiveBayes
0.16666666666666666,recall,GausNaiveBayes
0.6363636363636364,recall,GausNaiveBayes
0.5,recall,GausNaiveBayes
0.75,recall,GausNaiveBayes
0.75,recall,GausNaiveBayes
0.625,recall,GausNaiveBayes
0.5714285714285714,recall,GausNaiveBayes
0.5,recall,GausNaiveBayes
0.6666666666666666,recall,GausNaiveBayes
0.8571428571428571,recall,GausNaiveBayes
0.8181818181818182,specificity,GausNaiveBayes
0.5,specificity,GausNaiveBayes
0.9,specificity,GausNaiveBayes
0.75,specificity,GausNaiveBayes
0.75,specificity,GausNaiveBayes
0.75,specificity,GausNaiveBayes
0.7777777777777778,specificity,GausNaiveBayes
0.75,specificity,GausNaiveBayes
0.8,specificity,GausNaiveBayes
0.3333333333333333,specificity,GausNaiveBayes
0.5882352941176471,acc,LogReg
0.5882352941176471,acc,LogReg
0.5625,acc,LogReg
0.8125,acc,LogReg
0.5625,acc,LogReg
0.75,acc,LogReg
0.875,acc,LogReg
0.5625,acc,LogReg
0.5,acc,LogReg
0.6875,acc,LogReg
0.6060606060606061,roc,LogReg
0.4696969696969697,roc,LogReg
0.6,roc,LogReg
0.921875,roc,LogReg
0.5416666666666667,roc,LogReg
0.765625,roc,LogReg
0.888888888888889,roc,LogReg
0.53125,roc,LogReg
0.6,roc,LogReg
0.7777777777777778,roc,LogReg
0.4615384615384615,fms,LogReg
0.631578947368421,fms,LogReg
0.4615384615384615,fms,LogReg
0.7999999999999999,fms,LogReg
0.6956521739130435,fms,LogReg
0.75,fms,LogReg
0.8571428571428571,fms,LogReg
0.4615384615384615,fms,LogReg
0.3333333333333333,fms,LogReg
0.6153846153846153,fms,LogReg
0.42857142857142855,precision,LogReg
0.75,precision,LogReg
0.42857142857142855,precision,LogReg
0.8571428571428571,precision,LogReg
0.7272727272727273,precision,LogReg
0.75,precision,LogReg
0.8571428571428571,precision,LogReg
0.6,precision,LogReg
0.3333333333333333,precision,LogReg
0.6666666666666666,precision,LogReg
0.5,recall,LogReg
0.5454545454545454,recall,LogReg
0.5,recall,LogReg
0.75,recall,LogReg
0.6666666666666666,recall,LogReg
0.75,recall,LogReg
0.8571428571428571,recall,LogReg
0.375,recall,LogReg
0.3333333333333333,recall,LogReg
0.5714285714285714,recall,LogReg
0.6363636363636364,specificity,LogReg
0.6666666666666666,specificity,LogReg
0.6,specificity,LogReg
0.875,specificity,LogReg
0.25,specificity,LogReg
0.75,specificity,LogReg
0.8888888888888888,specificity,LogReg
0.75,specificity,LogReg
0.6,specificity,LogReg
0.7777777777777778,specificity,LogReg
